✅,№,Раздел,Задача,Агент,Приоритет,Срок,Статус,Ссылки / Заметки
FALSE,—,—,—— РАЗДЕЛ 0: ФУНДАМЕНТ ——,—,—,—,—,—
FALSE,1,Фундамент,Выбрать единый никнейм для всех платформ (@foodbusinessacademy или @anton_fba),Антон,P0,Неделя 1,Не начато,Проверить доступность на всех платформах
FALSE,2,Фундамент,Проверить доступность никнейма: TG / YouTube / TikTok / IG / VK / Threads,Антон,P0,Неделя 1,Не начато,
FALSE,3,Фундамент,Сделать профессиональное фото профиля (нейтральный фон + деловой стиль),Антон,P0,Неделя 1,Не начато,Один файл — одно фото для всех платформ
FALSE,4,Фундамент,Написать единый «био-текст» (2–3 строки: кто / для кого / куда),Антон + editor,P0,Неделя 1,Не начато,"Пример: Антон Коваленко · 13 лет в доставке суши · Делаю деньги из общепита — и показываю как"
FALSE,5,Фундамент,Утвердить финальный УТП (одно предложение — основа всех описаний),Антон,P0,Неделя 1,Не начато,Из brand/positioning.md — проверить и подписать
FALSE,6,Фундамент,Зафиксировать финальную цветовую палитру бренда (hex-коды),designer,P0,Неделя 1,Не начато,Из design-system/brand-book.md
FALSE,—,—,—— РАЗДЕЛ 1: ДИЗАЙН-СИСТЕМА ——,—,—,—,—,—
FALSE,7,Дизайн,Создать аватар для всех платформ (квадрат 400×400 + круглая версия PNG),designer,P0,Неделя 1,Не начато,Единый файл — Canva / Figma
FALSE,8,Дизайн,Создать обложку Telegram-канала (1280×720),designer,P0,Неделя 1,Не начато,
FALSE,9,Дизайн,Создать баннер YouTube (2560×1440 · безопасная зона 1546×423),designer,P0,Неделя 1,Не начато,
FALSE,10,Дизайн,Создать обложку VK (1590×400),designer,P1,Неделя 2,Не начато,
FALSE,11,Дизайн,Шаблон превью поста TG (1280×720) — базовый и вариативный,designer,P0,Неделя 1,Не начато,
FALSE,12,Дизайн,Шаблон превью YouTube-видео (1280×720),designer,P0,Неделя 2,Не начато,
FALSE,13,Дизайн,Шаблон Stories / Reels / TikTok-вертикалки (1080×1920),designer,P1,Неделя 2,Не начато,
FALSE,14,Дизайн,Оформить PDF лид-магнит «10 ошибок при запуске доставки» в Canva,lead-magnets/producer,P0,Неделя 1,Не начато,Контент готов в products/lead-magnets/checklist-10-oshibok.md
FALSE,15,Дизайн,Создать обложку PDF (первая страница — лицо документа),designer,P0,Неделя 1,Не начато,Имя Антона + логотип FBA + главный заголовок
FALSE,—,—,—— РАЗДЕЛ 2: TELEGRAM-КАНАЛ ——,—,—,—,—,—
FALSE,16,Telegram,Создать публичный канал Telegram,Антон,P0,Неделя 1,Не начато,
FALSE,17,Telegram,Установить @username канала,Антон,P0,Неделя 1,Не начато,
FALSE,18,Telegram,Загрузить аватар канала (из дизайн-системы),Антон,P0,Неделя 1,Не начато,
FALSE,19,Telegram,Загрузить обложку канала (1280×720),Антон,P0,Неделя 1,Не начато,
FALSE,20,Telegram,"Написать описание канала (≤255 символов: тема + для кого + CTA к боту)",telegram-agent,P0,Неделя 1,Не начато,"Пример: «Антон Коваленко — 13 лет владелец доставки суши. Цифры, кейсы, ошибки без прикрас. 👇 Жми /start у бота — получи чек-лист»"
FALSE,21,Telegram,Создать группу для комментариев → привязать к каналу,Антон,P0,Неделя 1,Не начато,
FALSE,22,Telegram,"Написать закреплённый пост-приветствие (кто Антон, что здесь, ссылка на лид-магнит)",telegram-agent,P0,Неделя 1,Не начато,Структура: хук → история 2 абзаца → что будет в канале → CTA к боту
FALSE,23,Telegram,Написать пост №1 — Знакомство (история «Мистер Суши» + путь от повара к владельцу),telegram-agent,P0,Неделя 1,Не начато,Пиллар: кейсы
FALSE,24,Telegram,Написать пост №2 — Самый ценный пост (конкретный лайфхак с цифрами),telegram-agent,P0,Неделя 1,Не начато,Пиллар: деньги
FALSE,25,Telegram,Написать пост №3 — Подводка к лид-магниту (боль ЦА → решение → забрать чек-лист),telegram-agent,P0,Неделя 1,Не начато,
FALSE,26,Telegram,Написать пост №4 и №5 (контент-буфер на 2-ю неделю),telegram-agent,P0,Неделя 2,Не начато,Из content/ideas/
FALSE,27,Telegram,Создать визуалы (обложки) для постов 1–5,designer,P0,Неделя 1,Не начато,
FALSE,28,Telegram,Добавить кнопку «Написать» (ссылка на личный TG Антона или бот),Антон,P1,Неделя 1,Не начато,
FALSE,—,—,—— РАЗДЕЛ 3: БОТ — ЛИДМАГНИТ ——,—,—,—,—,—
FALSE,29,Бот: лид-магнит,Создать бота через @BotFather → получить BOT_TOKEN,Антон,P0,Неделя 1,Не начато,Сохранить токен в .env
FALSE,30,Бот: лид-магнит,Написать сценарий приветствия (/start → кнопка «Получить чек-лист»),lead-magnets/architect,P0,Неделя 1,Не начато,
FALSE,31,Бот: лид-магнит,Написать текст инструкции «Подпишись на канал → получи чек-лист»,lead-magnets/architect,P0,Неделя 1,Не начато,
FALSE,32,Бот: лид-магнит,Реализовать проверку подписки на канал (getChatMember API),lead-magnets/producer,P0,Неделя 1,Не начато,Python + aiogram 3.x
FALSE,33,Бот: лид-магнит,Загрузить PDF чек-лист в бота → отправлять после проверки подписки,lead-magnets/producer,P0,Неделя 1,Не начато,
FALSE,34,Бот: лид-магнит,Написать текст после выдачи PDF (представление Антона + следующий шаг),lead-magnets/architect,P0,Неделя 1,Не начато,
FALSE,35,Бот: лид-магнит,Настроить follow-up: через 2 дня → «Посмотри первое видео на YouTube»,lead-magnets/producer,P1,Неделя 2,Не начато,APScheduler / aiogram
FALSE,36,Бот: лид-магнит,Настроить follow-up: через 7 дней → «Есть вопрос? Запишись на консультацию»,lead-magnets/producer,P1,Неделя 2,Не начато,
FALSE,37,Бот: лид-магнит,Развернуть бота на хостинге (Railway / Selectel / VPS),Антон + lead-magnets/producer,P0,Неделя 2,Не начато,
FALSE,38,Бот: лид-магнит,Протестировать полный сценарий: /start → подписка → PDF → follow-up,Антон,P0,Неделя 2,Не начато,Проверить с двух разных аккаунтов TG
FALSE,—,—,—— РАЗДЕЛ 4: БОТ — КОНТЕНТ-ПОМОЩНИК (для Антона) ——,—,—,—,—,—
FALSE,39,Бот: контент,Создать бота через @BotFather → получить BOT_TOKEN,Антон,P0,Неделя 2,Не начато,
FALSE,40,Бот: контент,Настроить whitelist: доступ только для user_id Антона,lead-magnets/producer,P0,Неделя 2,Не начато,
FALSE,41,Бот: контент,Подключить Whisper API (транскрипция голосовых),lead-magnets/producer,P0,Неделя 2,Не начато,OpenAI Whisper API или whisper.cpp локально
FALSE,42,Бот: контент,Подключить Claude API (Sonnet) с промптом из voice-to-post skill,lead-magnets/producer,P0,Неделя 2,Не начато,Промпт из .claude/skills/voice-to-post/SKILL.md
FALSE,43,Бот: контент,Добавить вывод: пост TG + 3 идеи шортсов + тезисы YouTube,lead-magnets/producer,P0,Неделя 2,Не начато,
FALSE,44,Бот: контент,Развернуть на хостинге + настроить .env,Антон + lead-magnets/producer,P0,Неделя 2,Не начато,
FALSE,45,Бот: контент,Протестировать: отправить голосовое → получить готовый пост TG,Антон,P0,Неделя 2,Не начато,
FALSE,—,—,—— РАЗДЕЛ 5: YOUTUBE ——,—,—,—,—,—
FALSE,46,YouTube,Создать / оформить канал YouTube,Антон,P0,Неделя 1,Не начато,
FALSE,47,YouTube,Загрузить аватар канала,Антон,P0,Неделя 1,Не начато,
FALSE,48,YouTube,Загрузить баннер (2560×1440),Антон,P0,Неделя 1,Не начато,
FALSE,49,YouTube,"Написать описание «О канале» (история + для кого + CTA → TG-канал)",youtube-agent,P0,Неделя 1,Не начато,≤1000 символов с ключевыми словами
FALSE,50,YouTube,Добавить ссылки в профиль: TG-канал / TikTok / Instagram,Антон,P0,Неделя 1,Не начато,
FALSE,51,YouTube,Создать плейлисты: Деньги / Кейсы / Операционка / Маркетинг / Запуск доставки,youtube-agent,P0,Неделя 1,Не начато,
FALSE,52,YouTube,Написать сценарий трейлера канала (1–3 мин: кто Антон + о чём канал + почему смотреть),youtube-agent,P0,Неделя 2,Не начато,
FALSE,53,YouTube,Снять и загрузить трейлер канала → установить как представление,Антон,P0,Неделя 2,Не начато,
FALSE,54,YouTube,Создать шаблон превью в Canva (единый стиль),designer,P0,Неделя 1,Не начато,
FALSE,55,YouTube,Настроить конечные заставки (шаблон с CTA → подписка + другое видео),Антон,P1,Неделя 2,Не начато,
FALSE,56,YouTube,Добавить водяной знак / брендинг,designer,P1,Неделя 2,Не начато,
FALSE,—,—,—— РАЗДЕЛ 6: TIKTOK ——,—,—,—,—,—
FALSE,57,TikTok,Создать / оформить аккаунт,Антон,P0,Неделя 1,Не начато,
FALSE,58,TikTok,Загрузить фото профиля (единый аватар),Антон,P0,Неделя 1,Не начато,
FALSE,59,TikTok,"Написать bio (≤80 символов: тема + CTA → TG)",tiktok-agent,P0,Неделя 1,Не начато,"Пример: «Владелец доставки 13 лет. Цифры и кейсы. Канал👇»"
FALSE,60,TikTok,Добавить ссылку на TG-канал в профиль,Антон,P0,Неделя 1,Не начато,Нужен Business-аккаунт для ссылки
FALSE,61,TikTok,Переключить на Business-аккаунт (для аналитики и ссылки),Антон,P0,Неделя 1,Не начато,
FALSE,—,—,—— РАЗДЕЛ 7: INSTAGRAM ——,—,—,—,—,—
FALSE,62,Instagram,Создать / оформить аккаунт,Антон,P0,Неделя 1,Не начато,
FALSE,63,Instagram,Перевести в Professional (Creator Account),Антон,P0,Неделя 1,Не начато,
FALSE,64,Instagram,Загрузить фото профиля (единый аватар),Антон,P0,Неделя 1,Не начато,
FALSE,65,Instagram,"Написать bio (≤150 символов: кто + для кого + CTA → TG)",instagram-agent,P0,Неделя 1,Не начато,
FALSE,66,Instagram,Добавить ссылку на TG-канал (или Taplink со всеми ссылками),Антон,P0,Неделя 1,Не начато,
FALSE,67,Instagram,"Создать заглушки Highlights (5 тем: О себе / Кейсы / Деньги / Инструменты / Чек-лист)",designer,P1,Неделя 2,Не начато,Обложки в едином стиле
FALSE,68,Instagram,Опубликовать 3 первых поста (контент-буфер для «непустого» профиля),instagram-agent,P1,Неделя 2,Не начато,Адаптация из content-bank/
FALSE,—,—,—— РАЗДЕЛ 8: ВКОНТАКТЕ ——,—,—,—,—,—
FALSE,69,ВКонтакте,Создать публичную страницу (не группу),Антон,P1,Неделя 2,Не начато,
FALSE,70,ВКонтакте,Написать описание страницы + указать ссылку на TG,vk-agent,P1,Неделя 2,Не начато,
FALSE,71,ВКонтакте,Загрузить аватар и обложку (1590×400),Антон,P1,Неделя 2,Не начато,
FALSE,72,ВКонтакте,"Настроить меню-кнопки: TG-канал / Чек-лист / YouTube",Антон,P1,Неделя 2,Не начато,
FALSE,73,ВКонтакте,Опубликовать первый пост (адаптация знакомства из TG),vk-agent,P1,Неделя 2,Не начато,
FALSE,—,—,—— РАЗДЕЛ 9: ДЗЕН ——,—,—,—,—,—
FALSE,74,Дзен,Создать канал на Дзен,Антон,P1,Неделя 2,Не начато,
FALSE,75,Дзен,Написать описание канала (SEO: ключевые слова — доставка / ресторан / общепит),dzen-agent,P1,Неделя 2,Не начато,
FALSE,76,Дзен,Загрузить аватар и обложку,Антон,P1,Неделя 2,Не начато,
FALSE,77,Дзен,Опубликовать первую статью (адаптация поста TG в лонгрид 1500–3000 зн.),dzen-agent,P1,Неделя 3,Не начато,CTA в конце → TG-канал
FALSE,—,—,—— РАЗДЕЛ 10: MAX ——,—,—,—,—,—
FALSE,78,MAX,Создать канал в MAX (ВКонтакте Мессенджер),Антон,P2,Неделя 3,Не начато,
FALSE,79,MAX,Написать описание канала,max-agent,P2,Неделя 3,Не начато,
FALSE,80,MAX,Настроить синхронизацию / репост с TG-канала,Антон,P2,Неделя 3,Не начато,
FALSE,—,—,—— РАЗДЕЛ 11: THREADS ——,—,—,—,—,—
FALSE,81,Threads,Создать аккаунт (через Instagram),Антон,P2,Неделя 3,Не начато,
FALSE,82,Threads,Написать bio (CTA → TG),threads-agent,P2,Неделя 3,Не начато,
FALSE,83,Threads,Опубликовать первый пост (знакомство),threads-agent,P2,Неделя 3,Не начато,
FALSE,—,—,—— РАЗДЕЛ 12: КОНТЕНТ-БУФЕР ——,—,—,—,—,—
FALSE,84,Контент,Написать 5 постов TG в очередь (контент-буфер на 2 недели),telegram-agent,P0,Неделя 1,Не начато,Из content/ideas/ — 5 идей уже готовы
FALSE,85,Контент,Создать визуалы (обложки) для 5 постов TG,designer,P0,Неделя 1,Не начато,
FALSE,86,Контент,Написать сценарий первого YouTube-видео (представление Антона),youtube-agent,P0,Неделя 2,Не начато,Шаблон из _templates/script.md
FALSE,87,Контент,Написать 2 сценария шортсов (TikTok / Reels / YouTube Shorts),script-writer,P0,Неделя 2,Не начато,Из content/ideas/ — есть 9 идей
FALSE,88,Контент,Снять первые 2 шортса + первое YouTube-видео,Антон,P0,Неделя 2,Не начато,
FALSE,89,Контент,Подготовить описания и хэштеги для каждого видео,youtube-agent + tiktok-agent,P0,Неделя 2,Не начато,
FALSE,—,—,—— РАЗДЕЛ 13: АНАЛИТИКА И МЕТРИКИ ——,—,—,—,—,—
FALSE,90,Аналитика,Зарегистрироваться на tgstat.ru (мониторинг TG-канала),Антон,P0,Неделя 1,Не начато,
FALSE,91,Аналитика,Зарегистрироваться на socialblade.com (YouTube-аналитика),Антон,P1,Неделя 1,Не начато,
FALSE,92,Аналитика,Создать Google Sheets таблицу еженедельных метрик,analytics,P0,Неделя 1,Не начато,"Подписчики / Охват / ER / Конверсия бота / Просмотры видео"
FALSE,93,Аналитика,Настроить UTM-метки для ссылок на TG из других платформ,analytics,P1,Неделя 2,Не начато,
FALSE,94,Аналитика,Определить KPI для первых 30 дней (целевые числа),analytics + Антон,P0,Неделя 1,Не начато,"Пример: 200 подписчиков TG / 50 выдач PDF / 500 просмотров видео"
FALSE,95,Аналитика,Настроить еженедельную сводку метрик (каждый ПН 09:00),analytics,P1,Неделя 2,Не начато,
FALSE,—,—,—— РАЗДЕЛ 14: ПЕРЕД ПЕРВОЙ ПУБЛИКАЦИЕЙ ——,—,—,—,—,—
FALSE,96,Запуск,Финальная проверка всех описаний (единый тон / без ошибок / CTA везде),editor,P0,Неделя 2,Не начато,
FALSE,97,Запуск,Протестировать весь путь: шортс в TikTok → CTA → TG → бот → PDF,Антон,P0,Неделя 2,Не начато,Пройти как новый подписчик
FALSE,98,Запуск,Анонс запуска в личном TG (друзьям / знакомым / коллегам),Антон,P0,Неделя 2,Не начато,Первые 50 подписчиков — из окружения
FALSE,99,Запуск,Опубликовать первый пост в TG-канале,Антон,P0,Неделя 2,Не начато,
FALSE,100,Запуск,Запустить шортс на TikTok / Reels / YouTube Shorts,Антон,P0,Неделя 2,Не начато,
